Index,Survey ID,Eater Type,"Motivation
Animal Protection","Motivation
Concern for the Environment","Motivation
Cost","Motivation
Health","Motivation
Religious or Spiritual Beliefs","Motivation
Social influence (from friends, family, significant other, etc.)","Motivation
Social justice or world hunger","Motivation
Taste preferences","Motivation
Wanting to follow a food trend","Motivation
Feelings of disgust about meat",Age Transitioned to Veg'nism,Gender,State,Education,Political,Race/Ethnicity,Religion
509,4584,Vegan,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,33,Female,New Hampshire,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
510,4599,Omnivore,,,,,,,,,,,,Female,Indiana,Associate’s degree,Neutral/Centrist,White,Hindu
511,4613,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,30,Male,Wyoming,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
512,4615,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Moderately Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
513,4626,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Strongly Liberal,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
514,4630,Vegetarian,Very Strong,Strong,Somewhat,Somewhat,Mild,Not at All,Somewhat,Somewhat,Not at All,Strong,50,Female,Minnesota,Graduate or professional degree,Neutral/Centrist,Indian,Hindu
515,4637,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Strongly Liberal,Other race/ethnicity (including two or more),Buddhist
516,4638,Omnivore,,,,,,,,,,,,Female,Minnesota,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
517,4642,Omnivore,,,,,,,,,,,,Male,Georgia,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
518,4652,Omnivore,,,,,,,,,,,,Female,Indiana,"Some education after high school, no degree",Strongly Liberal,African American or Black,"Christian (Catholic, Protestant, etc.)"
519,4663,Omnivore,,,,,,,,,,,,Male,Hawaii,"Some education after high school, no degree",Moderately Liberal,African American or Black,"Christian (Catholic, Protestant, etc.)"
520,4676,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Strongly Conservative,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
521,4683,Omnivore,,,,,,,,,,,,Other,California,High school diploma (or equivalent),Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
522,4692,Omnivore,,,,,,,,,,,,Female,Nebraska,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
523,4705,Omnivore,,,,,,,,,,,,Male,Tennessee,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
524,4707,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
525,4731,Omnivore,,,,,,,,,,,,Female,Wyoming,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
526,4734,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Moderately Liberal,African American or Black,"Christian (Catholic, Protestant, etc.)"
527,4737,Omnivore,,,,,,,,,,,,Male,Texas,"Some education after high school, no degree",Moderately Liberal,"Hispanic, Latino, or Spanish origin",Do not actively practice a religion
528,4738,Vegetarian,Strong,Strong,Somewhat,Strong,Somewhat,Mild,Somewhat,Mild,Mild,Somewhat,50,Male,Tennessee,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
529,4763,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,50,Female,Minnesota,Graduate or professional degree,Strongly Liberal,White,Other religion (including two or more)
530,4765,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,45,Female,Georgia,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
531,4777,Vegetarian,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,10,Female,New Mexico,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
532,4787,Omnivore,,,,,,,,,,,,Female,Mississippi,Bachelor’s degree,Moderately Liberal,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
533,4793,Omnivore,,,,,,,,,,,,Female,Arkansas,High school diploma (or equivalent),Neutral/Centrist,White,Other religion (including two or more)
535,4801,Omnivore,,,,,,,,,,,,Female,North Dakota,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
536,4804,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
537,4806,Omnivore,,,,,,,,,,,,Female,Connecticut,Graduate or professional degree,Strongly Liberal,White,Other religion (including two or more)
538,4812,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Moderately Conservative,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
539,4822,Omnivore,,,,,,,,,,,,Female,Texas,"Some education after high school, no degree",Moderately Conservative,White,Do not actively practice a religion
540,4841,Vegetarian,Strong,Strong,Somewhat,Strong,Somewhat,Mild,Somewhat,Mild,Mild,Somewhat,22,Female,Georgia,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
541,4849,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
542,4852,Omnivore,,,,,,,,,,,,Male,Puerto Rico,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
543,4856,Omnivore,,,,,,,,,,,,Female,Tennessee,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
544,4864,Omnivore,,,,,,,,,,,,Female,Virginia,Bachelor’s degree,Moderately Liberal,White,Jewish
545,4865,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,27,Female,Hawaii,Associate’s degree,Moderately Liberal,White,Do not actively practice a religion
546,4881,Omnivore,,,,,,,,,,,,Female,Georgia,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
547,4883,Vegan,Very Strong,Somewhat,Not at All,Not at All,Not at All,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,25,Female,South Carolina,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
548,4904,Omnivore,,,,,,,,,,,,Female,Mississippi,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
549,4913,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,40,Female,Georgia,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
550,4939,Omnivore,,,,,,,,,,,,Female,Massachusetts,Graduate or professional degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
551,4941,Omnivore,,,,,,,,,,,,Female,Oklahoma,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
552,4964,Omnivore,,,,,,,,,,,,Female,Massachusetts,Graduate or professional degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
553,4979,Omnivore,,,,,,,,,,,,Male,Oklahoma,Associate’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
554,4991,Omnivore,,,,,,,,,,,,Female,Nevada,"Some education after high school, no degree",Moderately Conservative,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
555,4992,Omnivore,,,,,,,,,,,,Female,Washington,Bachelor’s degree,Strongly Liberal,White,Other religion (including two or more)
556,5002,Vegan,Strong,Somewhat,Not at All,Mild,Not at All,Somewhat,Not at All,Not at All,Not at All,Strong,33,Female,Puerto Rico,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
557,5006,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
558,5010,Omnivore,,,,,,,,,,,,Female,Wyoming,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
559,5017,Omnivore,,,,,,,,,,,,Female,Montana,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
560,5025,Vegetarian,Somewhat,Mild,Not at All,Somewhat,Not at All,Mild,Mild,Mild,Not at All,Not at All,21,Female,North Carolina,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
561,5035,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
562,5037,Omnivore,,,,,,,,,,,,Male,North Carolina,Graduate or professional degree,Moderately Liberal,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
563,5061,Omnivore,,,,,,,,,,,,Female,Oklahoma,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
564,5066,Omnivore,,,,,,,,,,,,Female,Kansas,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
565,5067,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Moderately Liberal,White,Other religion (including two or more)
566,5070,Vegan,Very Strong,Somewhat,Not at All,Not at All,Mild,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,18,Female,California,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
567,5075,Omnivore,,,,,,,,,,,,Male,Utah,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
568,5084,Omnivore,,,,,,,,,,,,Female,Washington,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
569,5099,Vegetarian,Not at All,Mild,Not at All,Somewhat,Not at All,Strong,Not at All,Mild,Strong,Somewhat,51,Female,Connecticut,High school diploma (or equivalent),Strongly Liberal,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
570,5101,Vegetarian,Strong,Somewhat,Somewhat,Somewhat,Mild,Not at All,Not at All,Somewhat,Not at All,Not at All,15,Female,South Carolina,"Some education after high school, no degree",Strongly Liberal,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
571,5115,Omnivore,,,,,,,,,,,,Female,New Jersey,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
572,5123,Omnivore,,,,,,,,,,,,Female,Pennsylvania,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
573,5134,Omnivore,,,,,,,,,,,,Male,Kentucky,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
574,5136,Omnivore,,,,,,,,,,,,Female,Florida,Bachelor’s degree,Strongly Conservative,White,Other religion (including two or more)
576,5138,Omnivore,,,,,,,,,,,,Female,California,Associate’s degree,Neutral/Centrist,Indian,Jewish
577,5140,Omnivore,,,,,,,,,,,,Female,Alaska,Associate’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
578,5166,Omnivore,,,,,,,,,,,,Male,New York,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
579,5167,Vegetarian,Strong,Strong,Somewhat,Strong,Somewhat,Mild,Somewhat,Mild,Mild,Somewhat,33,Female,California,Graduate or professional degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
580,5168,Omnivore,,,,,,,,,,,,Female,Colorado,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
581,5182,Omnivore,,,,,,,,,,,,Female,Arizona,Bachelor’s degree,Neutral/Centrist,"Hispanic, Latino, or Spanish origin",Other religion (including two or more)
582,5191,Omnivore,,,,,,,,,,,,Male,Pennsylvania,"Some education after high school, no degree",Neutral/Centrist,White,Other religion (including two or more)
583,5193,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Moderately Conservative,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
584,5198,Omnivore,,,,,,,,,,,,Female,Texas,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
585,5204,Omnivore,,,,,,,,,,,,Female,Colorado,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
586,5209,Omnivore,,,,,,,,,,,,Female,Oklahoma,Graduate or professional degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
587,5211,Omnivore,,,,,,,,,,,,Female,Arkansas,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
588,5238,Omnivore,,,,,,,,,,,,Female,Puerto Rico,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
589,5240,Omnivore,,,,,,,,,,,,Male,Pennsylvania,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
590,5250,Omnivore,,,,,,,,,,,,Male,New Mexico,"Some education after high school, no degree",Neutral/Centrist,White,Buddhist
591,5258,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
592,5260,Omnivore,,,,,,,,,,,,Male,Texas,Associate’s degree,Neutral/Centrist,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
593,5272,Omnivore,,,,,,,,,,,,Male,Arizona,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
594,5273,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
595,5281,Omnivore,,,,,,,,,,,,Male,Virginia,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
596,5291,Omnivore,,,,,,,,,,,,Male,Georgia,Graduate or professional degree,Strongly Liberal,White,Jewish
597,5297,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
598,5311,Omnivore,,,,,,,,,,,,Male,Puerto Rico,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
599,5312,Omnivore,,,,,,,,,,,,Female,Kansas,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
600,5321,Omnivore,,,,,,,,,,,,Female,Hawaii,Graduate or professional degree,Strongly Liberal,African American or Black,"Christian (Catholic, Protestant, etc.)"
601,5324,Omnivore,,,,,,,,,,,,Male,Florida,Graduate or professional degree,Moderately Liberal,"Christian (Catholic, Protestant, etc.)",Buddhist
602,5335,Omnivore,,,,,,,,,,,,Male,Pennsylvania,High school diploma (or equivalent),Strongly Liberal,White,Do not actively practice a religion
603,5352,Omnivore,,,,,,,,,,,,Male,Texas,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
604,5369,Omnivore,,,,,,,,,,,,Female,Texas,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
605,5392,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
606,5395,Omnivore,,,,,,,,,,,,Female,Michigan,High school diploma (or equivalent),Moderately Liberal,White,Do not actively practice a religion
607,5400,Omnivore,,,,,,,,,,,,Female,Massachusetts,Graduate or professional degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
608,5402,Omnivore,,,,,,,,,,,,Female,Puerto Rico,"Some education after high school, no degree",Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
609,5404,Omnivore,,,,,,,,,,,,Female,Georgia,Associate’s degree,Strongly Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
610,5420,Omnivore,,,,,,,,,,,,Female,Illinois,Associate’s degree,Strongly Liberal,White,Do not actively practice a religion
611,5422,Omnivore,,,,,,,,,,,,Female,Wyoming,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
612,5428,Vegan,Very Strong,Mild,Mild,Somewhat,Not at All,Not at All,Mild,Somewhat,Not at All,Very Strong,16,Female,New Mexico,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
613,5437,Omnivore,,,,,,,,,,,,Male,Puerto Rico,Bachelor’s degree,Moderately Conservative,White,Do not actively practice a religion
614,5449,Omnivore,,,,,,,,,,,,Female,Oklahoma,Associate’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
615,5453,Vegan,Somewhat,Strong,Somewhat,Very Strong,Not at All,Strong,Strong,Strong,Somewhat,Strong,42,Male,Texas,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
616,5480,Omnivore,,,,,,,,,,,,Female,Kentucky,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
617,5483,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,50,Male,Nevada,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
618,5503,Omnivore,,,,,,,,,,,,Male,Oklahoma,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
